"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Documents (typed)","","","0","0","4","0","0"
"","","","0","0","14","3","0"
"Registration","","","0","0","4","0","0"
"Settings: Company","","","0","0","1","0","0"
"Setting","Billing","","0","0","1","0","0"
"Forms","","","0","0","2","0","0"
"Profile","","","0","0","2","0","0"
"Templates","","","0","0","2","0","0"
"Authorization","","","0","0","1","0","0"
"Sign document","","","0","0","2","0","0"
"Create Document","","","0","0","1","0","0"
